,ratings,comments
195,4,"스토리 별루, 연출 별루, 캐릭터 식상, 코믹성? 나랑 개그 코드가 안맞다고 쳐도 이건 아니다. 몰입이 되야 웃기지. 관객수 보고 깜짝 놀랐다.. 평점 보고 그나마 안도했다. 킬링타임용도 아니고 그냥 보면 시간 아까운 영화~"
196,1,넘 기대했나봐 걸캅스가 훨 낫더라
197,0,
198,0,천만만 아니었어도 빵점까진 주지않았을텐데...올레에 낸 돈 아까워 빵빵 웃으며봤다ㅜ
199,9,생각보다 재밌는데?ㅋ 이평점 가지고가면 살려줄께~
200,10,재미있어요^^
201,2,"태어나서 영화 평점 처음 남겨요 기대하고 봤는데, 충격 그 자체 실망이네요"
202,5,어부지리의 표본..그래도 노력은 가상했다
203,6,목표의식 확실하다
204,6,
205,7,"ㅋㅋㅋㅋ 웃지요~ 뭐 웃으면 되지요~^^  니네 홍상필이 마을버스가 잡았데 매~!  스쿨버스야~!!  그리고, 문자 받고 'ㅇㅁㅂ ' 대사에서는 뭐야~ 이모부? 이명박?  ㅇㅁㅂ 뜻은? 정답은 이무배(신하균)~^^ "
206,10,이정도면 재밌구만 ㅎㅎㅎ
207,10,
208,9,
209,10,
210,4,그냥 저냥 특별한거 없음 막 몰입이 안되고 재미가 안느껴짐 긴장감도 없음 딴한번 피식 밖에 생각이 안 남 끝나고 여운도 없음 그냥 B급영화
211,1,뭐냐
212,7,
213,9,
214,9,뽀뽀 충격
215,1,이게 천만영화냐 잡쓰레기같구만
216,10,"섬 간첩, 토착왜구당의 용산참사 블랙리스트 `염력`에서 못이룬 치킨집 대박을 이룬 영화"
217,8,뭐 이정도면 괜찮네요 재밌음
218,8,한국 코미디로써는 성공한것같다.. 잔잔하지만.. 서민 코믹코드를 완전히 돌파했다고 할까.. 감독이 궁금해서보니 이병헌이였다.. 역시 공감지수.. 가 엄청높은 배테랑이였다.. 물론 스토리는 없다..ㅋ그래서 살짝 점수 뺀다 ㅋ  가볍게웃다 끝났다 ㅎㅎ 배우선택도 탁월했고.. 연기짱..이였다.. 표정하나하나.. 설정하나하나.. 우수했다... 뭐랄까..한국영화치곤 업그레이드된  영화기법이 보였다... 스토리만 좀더 보충하면 ...좋겠다.. ㅋ 
219,5,천만이 넘게 들었고 재미있다 그래서 봤는데    음  난 별루였다 
220,1,쓰레기
221,9,극한직업 맞다
222,10,스토리 시원시원한게 넘 잼남^^
223,9,
