,ratings,comments
248,2,훌륭한 원작 웹툰을 못살려도 너무 살렸다. 진기한 변호사가 나오지 않는것이 가장 큰 원인 같다. 또한 이 만화는 저승의 모습을 만화로 재밌게 표현해줘서 어린이 교육에도 좋다고 생각하는데 영화에서는 쌩뚱맞은 운동장 CG 격투씬 하느라 몇가지 지옥과 저승의 모습도 일부 생략되어 있어 지옥에 대해 제대로 알기도 힘들다. 무료로만 보기를 추천한다.
249,10,재미있다
250,10,큰 교훈을 주었던 영화이기도 하지만 부족한면도 있긴있다. 그래도 눈시울 붉히며 재밌게 본 영화이니 만족스럽다.
251,6,어머니 소환 영화
252,9,"어제와 오늘,  그리고 내일을 부정하진 않을게다. 그런데 왜 전생과 현생, 그리고 내생은 부정을 하는가? 미시세계나 거시세계나 그 돌아가는 이치는 같은 것이다."
253,1,이게 사람들 입에 오르내리는지 모르겠음.. 무지 재미없음..
254,10,세상 사는 동안에 주위를 돌아보며 착하게 살아야 겠다는 생각이 들었습니다.
255,10,"재미, 감동"
256,0,"유치한 신파극, 어거지 스토리.... 보는 내내 짜증을 참아내며 엔딩까지 본 나의 인내심에 감탄했다."
257,5,
258,2,그냥 요즘 나오는 드라마 수준임
259,3,...
260,7,기대없이 봤는데 시간 가는 줄 모르고 몰입했음.. 마지막 신파이나  그래도  슬프고  아프고 감동^^
261,8,기대 1도 안하고 봤는데...그래서 그런지 재밌음. 후반부엔 울었음. 인과 연도 볼 예정임. 
262,10,^_^
263,6,글쎄... 그렇게 재미 있는지는 잘 모르겠네..
264,6,눈물없이 못 볼 제작진의 정성과 고심의 결과물.
265,10,
266,1,"평점 높은사람들이 원작보면, 다 평점깎을거라 생각한다, 모든걸 망친 각색."
267,10,
268,10,
269,5,
270,5,솔직히 말 해 스토리는 좀 별로였는데 그래도 3번이나 울었으니 5점은 줌. 내 스타일은 아니나 나쁘지는 않았어
271,2,
272,10,진심 이거 보면서 안운사람 없을듯 너무 감동적 이였다
273,10,너무너무 재미있어요ㅜㅜㅜ
274,1,평점이 너무 높아서 1점 줌  전형적인 한국섹 신파극  스토리가 이렇게 유치한데  인기 많은거 노이해
275,10,이때까지 본 한국 영화중에 CG가 거의 완벽한듯ㅋ 캐릭터들도 다 들 잘 어울리고 그리고 진짜 오랜만에 펑펑 울었네ㅎ
276,1,난 유치하고 노잼이던데... 많은 사람들이 좋다고 하니...... 내가 이상한걸까?
277,10,
278,10,난...펑펑울었는데ㅠㅠㅠㅠㅠ 댓글이.....ㅠㅠㅠㅠㅠㅠ
279,2,생각보다 많이 유치하네요. 신들이 팔랑귀고 인간보다 많이 어설퍼 보여요. 이야기 전개도 진부하기 짝이 없고 ...
280,10,개꿀잼
281,1,정말 유치한 영화에 이렇게 관객이 오다니? 정말 신기하네? 만화영화도 아니고 말이되나 아무리영화라도?
282,10,개꿀~ 2탄에 차태현인 안나오다니 ㅠㅠ
283,9,핵  꿀잼
284,6,솔직히 유치하고 신파 지긋지긋 하다 ㅋ
285,0,영화를 보는 내내 드는 생각이 이런 영화에 어쩌다 관객이 1400만이나 들었을까 하는거다. 시간이 남아서 끝까지 봤다만 1점도 아까운 영화.
286,0,
287,7,어느정도  재미는 있지만 내용이 유치함
288,10,
289,6,
290,0,혼란스러운 이야기 전개와 너무 뻔한 스토리 전개. 게다가 재미도 없다. 정말 최악이다. 한국 영화의 발전을 위해 0점.
291,6,
292,9,
293,0,감독 수준;
294,8,원작에 비하면 스토리가 좀 아쉽지만 영화적으론 볼만했음 연기는 하정우 아니였음 어쩔뻔했나 느낄정도.cg연기도 역시 연기를 잘해야 잘하나봄 
295,10, 너무 재밋고 감동적인 영화이다
296,8,재미도 있어고 스토리도 좋았으나 무엇인가 부족한듯한 느낌이 있네요. 
297,6,"이미 웹툰으로 시나리오가 완벽하게 나온 상태에서 신파극과 유치함으로 가득 담아낸 의아한 영화. CG나 로케, 인력, 소품 모든 좋은 조건들속에서 왜 이렇게 뽑았는지는 아무래도 창의적이고 과감한 연출보다는 잿밥에 더 관심이 많았던 뱃사공이 많았던걸로 보임 "
298,7,원작이 신선한 내용이라 각색하였어도 스토리 나쁘지 않고 액션과 감동이 적절히 섞여있다.
299,5,
300,9,강추!!!
301,5,
302,1,1점도아깝네 이렇게 대놓고 신파인영화 앞으로는 안나왔으면 국민을 개돼지로보나
303,8,"코믹적인 부분때문에 피식하고, 게임하는것 같은 장면에선 멋진부분도있고, 어머니 나오는 아련한부분도, 전체적으로 무슨말하고 싶은지 난해하지않고 쉬운영화네요 볼만했습니다"
304,10,좋아요
305,9,재밌게 봤는데 뭐가 문제지?
306,5,명작을 아주 난도질을 해났네  특수효과 감독만 하세요
307,8,
308,8,뮌가 아쉽.
309,7,여기서 경수가 조금 밖에 안나옴 ㅠㅠㅠㅠ 정말 아쉬움
310,3,헐~~최악×5845965 유치빤수!ㅠ
311,1,_ _
312,8,앞으로 죄 안짓고 살아야 겠다는 교훈을 줬어요
313,4,"아~ 신파, 독이다!"
314,0,
315,10,마지막에 얼마나 울었는지..늙었나..;;; 착하게삽시다..
316,5,유명세에 봤는데 실망했음
317,10,영화 보면서 펑펑물었네요~ 부모님 사랑에 대해 다시한번 생각하게 했던 영화네요^ ^
318,6,'한국적'인 소재에 '한국적'인 감성을 담았다는 게 장점이자 단점이다.
319,10,500년만에 나온 약빤 무비
320,8,삶을 되돌아 보게 하는 영화네요 ~
321,5,
322,8,
323,10,
324,10,
325,10,
326,1,차태현 연기자 맞냐...
327,7,영화속에 잘 융합된 CG가 살린 영화
328,8,"근데 귀인으로 재판 올클리어 해서 다시 인간으로 환생 됬는데. 다시 태어나고 보니 완전 그지 집안에 태어나서 죽도록 고생만하고 살다가 교통사고 당해 죽어서 다시 저승에 오면 그건 상받은거임? 벌 받은 거임? 만약 그게 아니면, 귀인이 환생할 때는 완전 부자집에 좋은 환경에서 태어나는 거임? 그런거면 그럼 지금 이건희 아들 뭐 이런 놈들도 전생에는 완전 초특급 귀인이었다는 말이내? 그찮아? 맞잖아. 글고 만약에 인간 수가 지금 60억명 인데.. 이걸 애들을 더 많이 낳아서 티오를 대략 천억명 정도로 늘리면은  그 재판에서 통과될 커트라인도 좀 낮아 지겠내? 그찮아. 어짜피 사람이 태어나면 영혼을 보내줘야 하니까.  이승에서 태어나는 인구수가 늘면 늘수록  저승에서는 더많은 영혼을 보내줘야 하는거잖아. 그면 예"
329,10,
330,8,"선한 죄와 진한 눈물,펑펑울고 싶거든..꼭 보자,,원없이 울 수 있다."
331,3,뭔 영화가 개연성이 하나도 없어 왜 이대사가 나오는지 연관이 없어 영화보다 오글거려서 힘들었다 이건 정말 아니지
332,8,영화 별 기대를 안하고 봐서 그런가 꽤 괜찮았음 CG분명 어색한 느낌인데 또 묘하게 리얼함 내용도 잼있었고 김향기?저 꼬마 여자애 지나치게 귀여움 캐스팅 살벌하네ㅋ 다만 차태현 연기가 몇년차인데 늘지를 않네 예능도 좋지만 연기 좀 연습이 ㅜㅜ
333,1,참나
334,10,이게 진정한 영화다
335,5,사후세계에 대한 동양적 해석만 반가운 정도랄까
336,10,
